contestant_id,season_number,contestant_entrance,contestant_name,age,hometown_city,hometown_state,season_outcome,handle_instagram,handle_twitter,datetime,followers_twitter,followers_instagram,datemin,datemax,twit_diff
71,6,10,Joslyn Fox,26,Worcester,Massachusetts,6,joslynfox,Joslyn_Fox,2014-02-24 2:02:08,2105,NA,2014-02-24T02:02:08Z,2014-05-19T17:43:15Z,13076
72,6,11,Milk,25,New York,New York,9,bigandmilky,bigandmilky,2014-02-25 1:41:42,4978,NA,2014-02-25T01:39:38Z,2014-05-19T08:08:20Z,17087
73,6,12,Magnolia Crawford,28,Seattle,Washington,13,magnoliaisme,magnoliaisme,2014-02-26 6:22:10,2525,NA,2014-02-26T06:22:10Z,2014-05-18T17:24:14Z,2660
74,6,13,Courtney Act,31,West Hollywood,California,2,courtneyact,courtneyact,2014-02-23 21:23:44,16563,NA,2014-02-23T19:34:13Z,2014-05-19T18:51:43Z,24607
75,6,14,Darienne Lake,41,Rochester,New York,4,dariennelake,dariennelake,2014-02-25 16:37:04,4736,NA,2014-02-25T16:37:04Z,2014-05-19T19:22:05Z,7937
76,7,1,Miss Fame,29,New York,New York,7,missfamenyc,MissFameNYC,2015-03-02 14:27:04,10912,NA,2015-03-01T20:59:11Z,2015-06-01T12:37:59Z,21968
77,7,2,Ginger Minj,29,Orlando,Florida,2,gingerminj,TheGingerMinj,2015-03-02 4:42:48,3791,NA,2015-03-02T01:12:19Z,2015-06-01T19:41:00Z,20737
78,7,3,Jaidynn Diore Fierce,25,Nashville,Tennessee,8,jaidynnfierce,jaidynnfierce,2015-03-03 13:57:07,3369,NA,2015-03-03T13:57:07Z,2015-05-27T04:49:47Z,7115
79,7,4,Violet Chachki,22,Atlanta,Georgia,1,violetchachki,VioletChachki,2015-03-01 19:58:51,4909,NA,2015-03-01T19:58:48Z,2015-06-01T19:53:39Z,30246
80,7,5,Max,22,Hudson,Wisconsin,9,maxcollective,MAXcollective,2015-03-02 1:33:32,4270,NA,2015-03-02T01:33:32Z,2015-06-01T03:47:50Z,18198
81,7,6,Katya,32,Boston,Massachusetts,5,katya_zamo,katya_zamo,2015-03-02 18:34:08,6565,NA,2015-03-01T19:52:23Z,2015-06-01T19:15:03Z,36579
83,7,8,Mrs. Kasha Davis,43,Rochester,New York,11,mrskashadavis,KashaDavis,2015-03-03 0:44:20,3249,NA,2015-03-02T20:24:35Z,2015-06-01T06:08:15Z,7350
